net,length_um
net43,2.04µm
net49,2.04µm
net51,2.04µm
_014_,2.025µm
_019_,2.025µm
_026_,2.025µm
_031_,2.025µm
_033_,2.025µm
_035_,2.025µm
net8,1.94µm
net22,1.94µm
_011_,1.865µm
_038_,1.865µm
net1,1.84µm
net69,1.84µm
_078_,1.7µm
net4,1.7µm
net33,1.7µm
net42,1.7µm
_056_,1.38µm
_128_,1.38µm
_101_,1.26µm
_072_,1.02µm
net24,1.02µm
_140_,0.92µm
net64,0.92µm
net66,0.92µm
net71,0.92µm
