Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_4_71,VGND,li1,39.1000,21.7600,0.000051
FILLER_4_41,VGND,li1,25.3000,21.7600,0.000028
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000029
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000030
FILLER_4_3,VGND,li1,7.5900,21.7600,0.000031
FILLER_3_107,VGND,li1,54.9700,21.7600,0.000054
FILLER_3_52,VGND,li1,30.3600,21.7600,0.000040
FILLER_3_41,VGND,li1,25.7600,21.7600,0.000028
FILLER_3_27,VGND,li1,19.7800,21.7600,0.000030
FILLER_3_15,VGND,li1,13.1100,21.7600,0.000031
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000031
FILLER_2_106,VGND,li1,54.7400,16.3200,0.000033
FILLER_2_82,VGND,li1,43.7000,16.3200,0.000031
FILLER_2_50,VGND,li1,29.4400,16.3200,0.000020
FILLER_2_15,VGND,li1,12.6500,16.3200,0.000022
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000022
FILLER_1_106,VGND,li1,54.7400,16.3200,0.000033
FILLER_1_90,VGND,li1,47.1500,16.3200,0.000031
FILLER_1_57,VGND,li1,31.9700,16.3200,0.000022
FILLER_1_52,VGND,li1,30.3600,16.3200,0.000022
FILLER_1_42,VGND,li1,25.5300,16.3200,0.000017
FILLER_1_25,VGND,li1,17.2500,16.3200,0.000021
FILLER_1_3,VGND,li1,7.3600,16.3200,0.000022
FILLER_0_103,VGND,li1,53.3600,10.8800,0.000004
FILLER_0_91,VGND,li1,50.1400,10.8800,0.000004
FILLER_0_85,VGND,li1,45.0800,10.8800,0.000004
FILLER_0_83,VGND,li1,43.9300,10.8800,0.000004
FILLER_0_75,VGND,li1,41.8600,10.8800,0.000004
FILLER_0_49,VGND,li1,28.2900,10.8800,0.000003
FILLER_0_41,VGND,li1,25.3000,10.8800,0.000002
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000002
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000002
FILLER_0_12,VGND,li1,11.7300,10.8800,0.000003
FILLER_0_3,VGND,li1,7.5900,10.8800,0.000003
hold9,VGND,li1,16.5600,16.3200,0.000021
hold8,VGND,li1,51.0600,21.7600,0.000054
hold7,VGND,li1,47.3800,21.7600,0.000053
hold6,VGND,li1,39.1000,59.8400,0.000005
hold5,VGND,li1,46.4600,54.4000,0.000032
hold4,VGND,li1,50.1400,43.5200,0.000015
hold3,VGND,li1,48.3000,48.9600,0.000049
hold2,VGND,li1,21.6200,59.8400,0.000003
hold1,VGND,li1,16.5600,54.4000,0.000023
clkload0,VGND,li1,34.2700,54.4000,0.000028
clkbuf_1_1__f_clk,VGND,li1,34.0400,48.9600,0.000045
clkbuf_1_0__f_clk,VGND,li1,33.5800,21.7600,0.000048
clkbuf_0_clk,VGND,li1,36.3400,38.0800,0.000041
fanout33,VGND,li1,52.9000,54.4000,0.000032
fanout32,VGND,li1,27.6000,59.8400,0.000004
fanout31,VGND,li1,7.8200,54.4000,0.000025
fanout30,VGND,li1,35.4200,59.8400,0.000005
fanout29,VGND,li1,7.8200,43.5200,0.000011
output28,VGND,li1,46.4600,59.8400,0.000006
output27,VGND,li1,24.3800,59.8400,0.000003
output26,VGND,li1,54.2800,32.6400,0.000030
output25,VGND,li1,54.2800,38.0800,0.000048
output24,VGND,li1,52.4400,38.0800,0.000048
output23,VGND,li1,54.2800,27.2000,0.000008
output22,VGND,li1,46.4600,10.8800,0.000004
output21,VGND,li1,27.1400,10.8800,0.000003
output20,VGND,li1,43.2400,59.8400,0.000005
input19,VGND,li1,7.5900,54.4000,0.000025
input18,VGND,li1,54.5100,54.4000,0.000032
input17,VGND,li1,7.5900,27.2000,0.000008
input16,VGND,li1,41.6300,59.8400,0.000005
input15,VGND,li1,7.5900,48.9600,0.000025
input14,VGND,li1,8.9700,32.6400,0.000013
input13,VGND,li1,54.5100,48.9600,0.000049
input12,VGND,li1,52.6700,27.2000,0.000008
input11,VGND,li1,54.5100,10.8800,0.000004
input10,VGND,li1,39.3300,10.8800,0.000004
input9,VGND,li1,17.2500,10.8800,0.000002
input8,VGND,li1,29.6700,59.8400,0.000004
input7,VGND,li1,7.5900,38.0800,0.000025
input6,VGND,li1,7.5900,32.6400,0.000013
input5,VGND,li1,44.3900,38.0800,0.000045
input4,VGND,li1,51.2900,27.2000,0.000007
input3,VGND,li1,30.5900,10.8800,0.000003
input2,VGND,li1,29.2100,10.8800,0.000003
input1,VGND,li1,7.5900,32.6400,0.000013
TAP_TAPCELL_ROW_17_65,VGND,li1,44.3900,59.5480,0.000005
TAP_TAPCELL_ROW_17_64,VGND,li1,31.5100,59.5480,0.000004
TAP_TAPCELL_ROW_17_63,VGND,li1,18.6300,59.5480,0.000003
TAP_TAPCELL_ROW_16_62,VGND,li1,44.3900,54.6910,0.000032
TAP_TAPCELL_ROW_16_61,VGND,li1,18.6300,54.6910,0.000022
TAP_TAPCELL_ROW_15_60,VGND,li1,31.5100,54.1080,0.000024
TAP_TAPCELL_ROW_14_59,VGND,li1,44.3900,49.2510,0.000048
TAP_TAPCELL_ROW_14_58,VGND,li1,18.6300,49.2510,0.000025
TAP_TAPCELL_ROW_13_57,VGND,li1,31.5100,48.6680,0.000037
TAP_TAPCELL_ROW_12_56,VGND,li1,44.3900,43.8110,0.000013
TAP_TAPCELL_ROW_12_55,VGND,li1,18.6300,43.8110,0.000009
TAP_TAPCELL_ROW_11_54,VGND,li1,31.5100,43.2280,0.000009
TAP_TAPCELL_ROW_10_53,VGND,li1,44.3900,38.3710,0.000045
TAP_TAPCELL_ROW_10_52,VGND,li1,18.6300,38.3710,0.000024
TAP_TAPCELL_ROW_9_51,VGND,li1,31.5100,37.7880,0.000031
TAP_TAPCELL_ROW_8_50,VGND,li1,44.3900,32.9310,0.000025
TAP_TAPCELL_ROW_8_49,VGND,li1,18.6300,32.9310,0.000012
TAP_TAPCELL_ROW_7_48,VGND,li1,31.5100,32.3480,0.000016
TAP_TAPCELL_ROW_6_47,VGND,li1,44.3900,27.4910,0.000007
TAP_TAPCELL_ROW_6_46,VGND,li1,18.6300,27.4910,0.000006
TAP_TAPCELL_ROW_5_45,VGND,li1,31.5100,26.9080,0.000005
TAP_TAPCELL_ROW_4_44,VGND,li1,44.3900,22.0510,0.000052
TAP_TAPCELL_ROW_4_43,VGND,li1,18.6300,22.0510,0.000030
TAP_TAPCELL_ROW_3_42,VGND,li1,31.5100,21.4680,0.000040
TAP_TAPCELL_ROW_2_41,VGND,li1,44.3900,16.6110,0.000031
TAP_TAPCELL_ROW_2_40,VGND,li1,18.6300,16.6110,0.000020
TAP_TAPCELL_ROW_1_39,VGND,li1,31.5100,16.0280,0.000022
TAP_TAPCELL_ROW_0_38,VGND,li1,44.3900,11.1710,0.000004
TAP_TAPCELL_ROW_0_37,VGND,li1,31.5100,11.1710,0.000003
TAP_TAPCELL_ROW_0_36,VGND,li1,18.6300,11.1710,0.000002
PHY_EDGE_ROW_17_Left_35,VGND,li1,6.2100,59.8400,0.000003
PHY_EDGE_ROW_16_Left_34,VGND,li1,6.2100,54.4000,0.000025
PHY_EDGE_ROW_15_Left_33,VGND,li1,6.2100,54.4000,0.000025
PHY_EDGE_ROW_14_Left_32,VGND,li1,6.2100,48.9600,0.000025
PHY_EDGE_ROW_13_Left_31,VGND,li1,6.2100,48.9600,0.000025
PHY_EDGE_ROW_12_Left_30,VGND,li1,6.2100,43.5200,0.000011
PHY_EDGE_ROW_11_Left_29,VGND,li1,6.2100,43.5200,0.000011
PHY_EDGE_ROW_10_Left_28,VGND,li1,6.2100,38.0800,0.000025
PHY_EDGE_ROW_9_Left_27,VGND,li1,6.2100,38.0800,0.000025
PHY_EDGE_ROW_8_Left_26,VGND,li1,6.2100,32.6400,0.000013
PHY_EDGE_ROW_7_Left_25,VGND,li1,6.2100,32.6400,0.000013
PHY_EDGE_ROW_6_Left_24,VGND,li1,6.2100,27.2000,0.000008
PHY_EDGE_ROW_5_Left_23,VGND,li1,6.2100,27.2000,0.000008
PHY_EDGE_ROW_4_Left_22,VGND,li1,6.2100,21.7600,0.000031
PHY_EDGE_ROW_3_Left_21,VGND,li1,6.2100,21.7600,0.000031
PHY_EDGE_ROW_2_Left_20,VGND,li1,6.2100,16.3200,0.000022
PHY_EDGE_ROW_1_Left_19,VGND,li1,6.2100,16.3200,0.000022
PHY_EDGE_ROW_0_Left_18,VGND,li1,6.2100,10.8800,0.000003
PHY_EDGE_ROW_17_Right_17,VGND,li1,55.8900,59.8400,0.000006
PHY_EDGE_ROW_16_Right_16,VGND,li1,55.8900,54.4000,0.000032
PHY_EDGE_ROW_15_Right_15,VGND,li1,55.8900,54.4000,0.000032
PHY_EDGE_ROW_14_Right_14,VGND,li1,55.8900,48.9600,0.000049
PHY_EDGE_ROW_13_Right_13,VGND,li1,55.8900,48.9600,0.000049
PHY_EDGE_ROW_12_Right_12,VGND,li1,55.8900,43.5200,0.000015
PHY_EDGE_ROW_11_Right_11,VGND,li1,55.8900,43.5200,0.000015
PHY_EDGE_ROW_10_Right_10,VGND,li1,55.8900,38.0800,0.000048
PHY_EDGE_ROW_9_Right_9,VGND,li1,55.8900,38.0800,0.000048
PHY_EDGE_ROW_8_Right_8,VGND,li1,55.8900,32.6400,0.000030
PHY_EDGE_ROW_7_Right_7,VGND,li1,55.8900,32.6400,0.000030
PHY_EDGE_ROW_6_Right_6,VGND,li1,55.8900,27.2000,0.000008
