Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000018
FILLER_16_3,VGND,li1,7.3600,54.4000,0.000020
FILLER_15_142,VGND,li1,71.0700,54.4000,0.000025
FILLER_15_113,VGND,li1,57.7300,54.4000,0.000023
FILLER_15_111,VGND,li1,56.8100,54.4000,0.000022
FILLER_15_105,VGND,li1,55.2000,54.4000,0.000022
FILLER_15_93,VGND,li1,51.0600,54.4000,0.000021
FILLER_15_81,VGND,li1,45.5400,54.4000,0.000019
FILLER_15_69,VGND,li1,40.0200,54.4000,0.000017
FILLER_15_57,VGND,li1,34.5000,54.4000,0.000015
FILLER_15_52,VGND,li1,30.3600,54.4000,0.000013
FILLER_15_40,VGND,li1,26.6800,54.4000,0.000011
FILLER_15_6,VGND,li1,8.7400,54.4000,0.000020
FILLER_14_141,VGND,li1,70.6100,48.9600,0.000078
FILLER_14_139,VGND,li1,69.6900,48.9600,0.000078
FILLER_14_93,VGND,li1,48.9900,48.9600,0.000070
FILLER_14_85,VGND,li1,46.4600,48.9600,0.000069
FILLER_14_81,VGND,li1,43.4700,48.9600,0.000067
FILLER_14_73,VGND,li1,40.9400,48.9600,0.000064
FILLER_14_61,VGND,li1,36.3400,48.9600,0.000055
FILLER_14_49,VGND,li1,30.8200,48.9600,0.000039
FILLER_14_38,VGND,li1,23.6900,48.9600,0.000025
FILLER_14_18,VGND,li1,14.7200,48.9600,0.000026
FILLER_13_143,VGND,li1,71.9900,48.9600,0.000078
FILLER_13_126,VGND,li1,63.7100,48.9600,0.000077
FILLER_13_108,VGND,li1,55.4300,48.9600,0.000073
FILLER_13_104,VGND,li1,54.2800,48.9600,0.000073
FILLER_13_96,VGND,li1,50.1400,48.9600,0.000070
FILLER_13_88,VGND,li1,47.8400,48.9600,0.000069
FILLER_13_65,VGND,li1,36.1100,48.9600,0.000055
FILLER_13_57,VGND,li1,33.5800,48.9600,0.000049
FILLER_13_55,VGND,li1,31.0500,48.9600,0.000039
FILLER_13_49,VGND,li1,29.4400,48.9600,0.000039
FILLER_13_37,VGND,li1,25.3000,48.9600,0.000025
FILLER_13_25,VGND,li1,19.7800,48.9600,0.000026
FILLER_13_16,VGND,li1,13.8000,48.9600,0.000026
FILLER_13_7,VGND,li1,9.4300,48.9600,0.000027
FILLER_12_141,VGND,li1,70.6100,43.5200,0.000041
FILLER_12_122,VGND,li1,62.1000,43.5200,0.000038
FILLER_12_109,VGND,li1,56.1200,43.5200,0.000035
FILLER_12_97,VGND,li1,52.9000,43.5200,0.000033
FILLER_12_85,VGND,li1,47.3800,43.5200,0.000029
FILLER_12_82,VGND,li1,43.7000,43.5200,0.000026
FILLER_12_70,VGND,li1,40.4800,43.5200,0.000024
FILLER_12_58,VGND,li1,34.9600,43.5200,0.000020
FILLER_12_29,VGND,li1,19.7800,43.5200,0.000015
FILLER_11_143,VGND,li1,71.9900,43.5200,0.000041
FILLER_11_125,VGND,li1,63.4800,43.5200,0.000039
FILLER_11_121,VGND,li1,61.4100,43.5200,0.000038
FILLER_11_113,VGND,li1,59.3400,43.5200,0.000037
FILLER_11_111,VGND,li1,56.8100,43.5200,0.000035
FILLER_11_99,VGND,li1,53.8200,43.5200,0.000033
FILLER_11_87,VGND,li1,48.3000,43.5200,0.000029
FILLER_11_75,VGND,li1,42.7800,43.5200,0.000026
FILLER_11_64,VGND,li1,36.8000,43.5200,0.000022
FILLER_11_50,VGND,li1,29.9000,43.5200,0.000018
FILLER_11_40,VGND,li1,24.1500,43.5200,0.000013
FILLER_11_28,VGND,li1,21.1600,43.5200,0.000014
FILLER_10_141,VGND,li1,70.6100,38.0800,0.000020
FILLER_10_134,VGND,li1,67.6200,38.0800,0.000020
FILLER_10_122,VGND,li1,64.4000,38.0800,0.000019
FILLER_10_110,VGND,li1,58.8800,38.0800,0.000018
FILLER_10_98,VGND,li1,53.3600,38.0800,0.000017
FILLER_10_93,VGND,li1,48.5300,38.0800,0.000016
FILLER_10_85,VGND,li1,46.4600,38.0800,0.000016
FILLER_10_80,VGND,li1,43.2400,38.0800,0.000015
FILLER_10_68,VGND,li1,39.5600,38.0800,0.000014
FILLER_10_61,VGND,li1,34.5000,38.0800,0.000013
FILLER_10_52,VGND,li1,29.9000,38.0800,0.000012
FILLER_10_40,VGND,li1,26.6800,38.0800,0.000010
FILLER_10_3,VGND,li1,7.3600,38.0800,0.000017
FILLER_9_139,VGND,li1,70.1500,38.0800,0.000020
FILLER_9_131,VGND,li1,67.6200,38.0800,0.000020
FILLER_9_87,VGND,li1,45.7700,38.0800,0.000016
FILLER_9_79,VGND,li1,43.7000,38.0800,0.000015
FILLER_9_67,VGND,li1,39.1000,38.0800,0.000014
FILLER_9_43,VGND,li1,26.6800,38.0800,0.000010
FILLER_9_3,VGND,li1,7.3600,38.0800,0.000017
FILLER_8_145,VGND,li1,72.4500,32.6400,0.000147
FILLER_8_141,VGND,li1,71.3000,32.6400,0.000147
FILLER_8_109,VGND,li1,56.1200,32.6400,0.000141
FILLER_8_85,VGND,li1,44.8500,32.6400,0.000119
FILLER_8_81,VGND,li1,43.4700,32.6400,0.000119
FILLER_8_69,VGND,li1,40.0200,32.6400,0.000110
FILLER_8_57,VGND,li1,34.5000,32.6400,0.000094
FILLER_8_52,VGND,li1,29.6700,32.6400,0.000072
FILLER_8_44,VGND,li1,27.6000,32.6400,0.000064
FILLER_8_29,VGND,li1,19.7800,32.6400,0.000051
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000051
FILLER_8_21,VGND,li1,16.5600,32.6400,0.000051
FILLER_8_3,VGND,li1,7.3600,32.6400,0.000054
FILLER_7_143,VGND,li1,71.9900,32.6400,0.000147
FILLER_7_89,VGND,li1,47.1500,32.6400,0.000126
FILLER_7_77,VGND,li1,43.7000,32.6400,0.000119
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000072
FILLER_7_37,VGND,li1,25.3000,32.6400,0.000049
FILLER_7_28,VGND,li1,18.6300,32.6400,0.000051
FILLER_7_22,VGND,li1,17.0200,32.6400,0.000051
FILLER_7_10,VGND,li1,12.8800,32.6400,0.000053
FILLER_6_141,VGND,li1,70.6100,27.2000,0.000036
FILLER_6_112,VGND,li1,57.2700,27.2000,0.000032
FILLER_6_105,VGND,li1,54.7400,27.2000,0.000031
FILLER_6_91,VGND,li1,47.6100,27.2000,0.000027
FILLER_6_85,VGND,li1,46.0000,27.2000,0.000027
FILLER_6_72,VGND,li1,41.4000,27.2000,0.000025
FILLER_6_60,VGND,li1,35.8800,27.2000,0.000020
FILLER_6_48,VGND,li1,30.3600,27.2000,0.000016
FILLER_6_33,VGND,li1,20.9300,27.2000,0.000013
FILLER_6_29,VGND,li1,19.7800,27.2000,0.000013
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000014
FILLER_6_21,VGND,li1,16.5600,27.2000,0.000014
FILLER_6_9,VGND,li1,10.3500,27.2000,0.000015
FILLER_5_138,VGND,li1,69.2300,27.2000,0.000036
FILLER_5_128,VGND,li1,64.6300,27.2000,0.000035
FILLER_5_122,VGND,li1,61.8700,27.2000,0.000034
FILLER_5_111,VGND,li1,56.8100,27.2000,0.000032
FILLER_5_99,VGND,li1,53.8200,27.2000,0.000031
FILLER_5_73,VGND,li1,39.3300,27.2000,0.000022
FILLER_5_69,VGND,li1,38.1800,27.2000,0.000022
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000020
FILLER_5_26,VGND,li1,18.4000,27.2000,0.000013
FILLER_5_3,VGND,li1,7.1300,27.2000,0.000015
FILLER_4_144,VGND,li1,72.2200,21.7600,0.000036
FILLER_4_139,VGND,li1,69.6900,21.7600,0.000036
FILLER_4_113,VGND,li1,57.7300,21.7600,0.000033
FILLER_4_105,VGND,li1,55.6600,21.7600,0.000032
FILLER_4_85,VGND,li1,46.0000,21.7600,0.000026
FILLER_4_81,VGND,li1,43.4700,21.7600,0.000024
FILLER_4_74,VGND,li1,39.7900,21.7600,0.000023
FILLER_4_62,VGND,li1,36.8000,21.7600,0.000021
FILLER_4_29,VGND,li1,19.3200,21.7600,0.000014
